system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000004,35,36,38,68,58,205,43,1,1327,18,-336,-96,-2,29,-31,-14,7,2,-11,-444,60,26,-5,24,-27,-43,1,15,-656,-101,-8,29,-37,-19,9,3,1.4878707,307.5,0.006667784,86706.0,0.004626667,193.5,287.3633,2.0273306,"{""type"":""Point"",""coordinates"":[80.17584981644343,37.16262976233172]}"
1_00000000000000000037,27,27,30,58,59,188,43,1,3048,15,-10,-133,55,-2,-65,67,-15,0,-7,348,38,2,-16,69,-36,27,-1,13,-386,-153,46,-7,-82,75,-9,2,18.679794,235.66667,0.055001117,65764.0,0.003488334,184.41667,270.29333,2.3259974,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_0000000000000000004a,38,40,41,50,54,202,49,1,1045,6,-148,-51,-5,21,-40,20,-1,0,-4,-645,33,5,0,25,-42,-2,2,5,-237,-36,-12,5,-27,-2,10,1,9.228245,294.58334,0.055001114,89057.336,0.005636667,170.83333,282.53665,2.1499972,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000053,44,48,52,72,70,207,60,1,1376,10,673,-49,-17,14,-25,-1,12,-2,-3,-321,44,-30,-18,10,-13,0,1,8,615,-45,-16,4,-32,-1,15,-2,2.338474,301.66666,0.009167784,86240.0,0.0044976673,198.08333,286.52,1.6239972,"{""type"":""Point"",""coordinates"":[78.36862075049235,37.551779970366994]}"
1_00000000000000000090,45,52,60,70,76,208,67,1,1368,5,-420,-7,-5,11,-10,11,9,1,0,1779,35,24,-3,-32,-25,-22,-7,4,-378,-10,-6,11,-12,8,6,1,4.6273675,285.83334,0.019167785,85714.664,0.004903667,193.41667,282.27332,2.302664,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
1_0000000000000000009e,45,46,50,58,67,204,63,1,688,8,-759,-31,-7,3,-23,1,4,3,0,-1204,-24,0,-5,-20,-24,1,4,7,-474,-27,-8,4,-24,-3,4,2,12.098643,305.75,0.055001117,92670.664,0.005765667,167.66667,284.58667,2.1593306,"{""type"":""Point"",""coordinates"":[110.74031207718286,37.45557040603785]}"
1_000000000000000000e0,41,48,53,76,78,201,65,1,1787,10,204,-70,32,-7,-8,-17,13,0,-6,73,-17,-30,-7,-11,-14,-40,0,9,101,-71,20,-7,-15,-15,12,0,2.5193825,282.5,0.02333445,81733.336,0.0053003337,191.08333,281.62665,3.3479974,"{""type"":""Point"",""coordinates"":[102.79911238840425,37.69191613917364]}"
1_00000000000000000135,36,39,42,72,72,203,58,1,1184,14,-8,-101,4,21,-89,61,-7,0,-1,-450,16,-45,-21,53,-91,2,1,13,-105,-103,-9,26,-101,62,-3,1,4.38231,288.25,0.045001116,87480.664,0.005063667,174.0,281.88998,2.1919973,"{""type"":""Point"",""coordinates"":[109.06109042517305,37.83124521068961]}"
1_00000000000000000136,45,49,55,60,67,205,62,1,1108,3,-23,-17,-2,2,-5,6,5,0,-2,-440,-61,-30,0,-1,-30,-7,1,3,-36,-17,-4,4,-7,4,4,0,13.198785,290.58334,0.04333445,88200.0,0.005160334,173.25,282.32666,2.3193305,"{""type"":""Point"",""coordinates"":[109.2761484098797,37.96734143394183]}"
1_00000000000000000182,44,45,49,53,55,203,50,1,1093,3,-48,-26,4,5,-9,6,-3,0,-5,-1163,-11,-19,22,13,-30,2,4,2,-12,-24,1,3,-10,2,0,0,3.6449373,293.33334,0.04833445,88680.664,0.0052320003,168.08333,282.44333,2.7113307,"{""type"":""Point"",""coordinates"":[109.77579068291831,38.24949997130073]}"
