system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,34,32,38,47,56,200,52,1,85,5,386,-39,4,-2,-17,3,6,-1,0,972,3,-16,7,-12,6,-4,-4,4,389,-36,-1,3,-18,5,6,-1,5.547545,311.66666,0.08250111,100856.0,0.0074323337,168.25,284.97998,2.8819973,"{""type"":""Point"",""coordinates"":[121.54569493191397,38.92781842355092]}"
1_00000000000000000001,40,34,32,31,28,193,25,1,5,0,413,-21,-8,3,-3,6,8,-1,-7,1201,-10,-7,32,-8,3,-5,-5,0,338,-22,-10,2,-1,5,7,-1,1.5102211,311.66666,0.08250111,100856.0,0.0074323337,168.25,284.97998,2.8819973,"{""type"":""Point"",""coordinates"":[121.59932454028377,38.93132327697892]}"
1_00000000000000000002,45,44,41,60,55,200,43,1,6,7,1289,-39,16,5,-32,17,-7,-5,0,-1047,57,-15,-16,1,-14,-9,4,6,1302,-37,10,10,-35,20,-8,-5,3.0189352,314.25,0.09583445,101302.0,0.0076680006,166.08333,285.30664,2.9826639,"{""type"":""Point"",""coordinates"":[121.85238298416787,38.953690127863]}"
1_00000000000000000003,43,46,47,60,59,201,51,1,22,6,110,-46,8,4,-40,9,-2,0,-3,612,39,-14,-1,12,-22,2,-2,5,-49,-32,3,5,-34,7,0,0,2.563199,309.16666,0.08500111,100019.336,0.007304667,164.58333,284.36,2.7853305,"{""type"":""Point"",""coordinates"":[121.7238315598981,39.13074765339219]}"
1_00000000000000000004,39,38,37,55,49,202,38,1,77,12,180,-54,15,6,-45,13,-1,0,-5,503,45,-11,8,19,-2,-6,-2,10,241,-40,4,10,-43,12,1,0,3.025389,309.25,0.090834446,99963.336,0.007357667,163.75,284.33,2.8259974,"{""type"":""Point"",""coordinates"":[121.81357542769975,39.08708859497789]}"
1_00000000000000000005,35,33,34,38,34,190,27,1,32,4,-443,-47,6,7,-22,24,0,2,-5,486,17,-30,15,-6,-27,-41,-2,3,-166,-45,4,6,-24,19,-1,0,4.4056134,313.91666,0.09250112,101342.0,0.0077790003,160.5,284.91333,3.0693307,"{""type"":""Point"",""coordinates"":[122.10301121797788,39.15446561189546]}"
1_00000000000000000006,46,34,34,56,74,202,74,1,20,18,-41,-38,-7,21,-80,34,-15,1,3,1085,44,-8,16,-30,3,-25,-4,12,516,-17,-13,17,-50,19,-3,-1,2.7802885,312.16666,0.07916778,101208.0,0.007425334,162.25,284.77667,2.7933307,"{""type"":""Point"",""coordinates"":[121.79524852237007,39.276814426599906]}"
1_00000000000000000007,30,29,29,53,48,200,36,1,19,12,739,-90,22,0,-78,49,-24,-2,-6,197,92,-52,3,22,-32,-31,-1,10,554,-71,-1,8,-79,43,-13,-1,1.2003169,312.0,0.07750112,101100.0,0.007629334,158.25,284.43997,2.8213305,"{""type"":""Point"",""coordinates"":[122.08118391832126,39.412638644687874]}"
1_00000000000000000008,45,34,32,69,79,201,71,1,21,21,2728,-111,7,40,-97,71,-41,-10,0,149,37,-56,-4,8,-21,-39,0,14,970,-61,-12,24,-63,40,-24,-3,3.8932312,312.0,0.07750112,101100.0,0.007629334,158.25,284.43997,2.8213305,"{""type"":""Point"",""coordinates"":[122.16876958121306,39.38892514528565]}"
1_00000000000000000009,29,28,29,61,56,199,34,1,17,13,1071,-133,56,-6,-99,78,-41,-3,-2,665,158,-50,-19,14,-77,16,-3,12,1307,-112,31,4,-103,69,-26,-4,5.6745224,310.83334,0.08083445,101438.0,0.0073060007,163.83333,284.61,2.8879972,"{""type"":""Point"",""coordinates"":[121.33818620529085,39.46438205331206]}"
