system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000016,42,203,200,36,32,30,51,43,31,32,0,1,147,25,-126,-89,-3,0,-10,6,1,1,-14,921,42,8,19,-28,17,-2,-3,13,1275,-62,0,32,-37,-4,-16,-3,7.213888,362.0,0.12000111,98930.0,0.010175001,134.75,289.815,1.8379972,"{""type"":""Point"",""coordinates"":[111.44719553078143,30.569443076616132]}"
1_00000000000000000018,43,201,198,37,30,28,33,30,27,30,0,1,56,16,-301,-67,-4,-17,-11,0,-15,1,-11,2104,4,-13,18,-52,-5,0,-7,8,369,-46,-9,1,-14,3,-9,0,2.1502533,364.625,0.12625112,100192.0,0.0106545,140.5,290.38,1.9529972,"{""type"":""Point"",""coordinates"":[111.72935406814032,30.426881156836405]}"
1_00000000000000000020,44,194,192,39,33,32,36,27,21,33,0,1,36,19,-395,-72,-2,-30,31,22,14,1,-13,-4,0,-20,23,9,12,-21,0,9,114,-57,-4,-1,-11,10,-5,0,2.341145,366.625,0.12375112,101451.0,0.011323,149.125,291.075,2.6329973,"{""type"":""Point"",""coordinates"":[112.89033899571865,30.4152919531985]}"
1_00000000000000000026,42,204,200,39,37,40,74,75,60,34,0,1,29,24,283,-95,18,11,-29,18,-21,0,-9,-2442,62,-20,5,-24,11,-33,7,13,-657,-62,-1,-2,-47,33,-26,2,0.0,366.25,0.13125111,101479.0,0.010841001,146.0,290.97,2.3329973,"{""type"":""Point"",""coordinates"":[113.79018112920296,30.55058107916005]}"
1_0000000000000000002d,41,205,201,37,33,31,57,44,33,33,0,1,28,22,-22,-101,-6,4,-14,-8,-11,0,-15,-1097,34,28,-13,2,14,-11,3,11,208,-69,0,-15,-53,3,-9,0,2.143195,373.0,0.15125111,101340.0,0.012442,146.625,292.01498,2.8539972,"{""type"":""Point"",""coordinates"":[114.82908478814005,30.41125200764408]}"
1_00000000000000000041,47,205,201,43,40,41,52,50,40,40,0,1,94,16,-1475,-84,9,-14,7,14,0,5,-12,814,18,13,-1,-39,16,1,-2,7,59,-41,-4,17,-8,5,-10,0,2.9813905,366.5,0.11750111,99727.0,0.0105705,133.0,290.41998,1.8659973,"{""type"":""Point"",""coordinates"":[111.38063007025558,30.66215224661832]}"
1_00000000000000000043,39,203,200,35,31,31,51,52,44,33,0,1,188,26,946,-88,26,-28,-21,5,-9,-2,-13,1212,35,-5,13,-36,1,-7,-4,13,923,-55,3,12,-29,6,-15,-2,4.308391,360.375,0.111251116,98823.0,0.0103575,138.375,289.635,1.9479973,"{""type"":""Point"",""coordinates"":[111.61670825732817,30.741921105363414]}"
1_00000000000000000044,44,204,201,39,34,32,57,56,43,37,0,1,89,31,-647,-101,22,-20,-14,35,-16,3,-13,861,5,-29,12,-19,-26,-13,-3,14,1693,-75,2,20,-46,17,-24,-4,1.8543341,363.5,0.11750111,99884.0,0.010583,140.25,290.19998,1.9539973,"{""type"":""Point"",""coordinates"":[111.83068713957988,30.613909232321088]}"
1_00000000000000000049,41,204,200,36,31,33,65,57,42,29,0,1,48,28,-368,-116,-26,15,-33,6,-29,2,-13,458,59,-22,-4,0,18,-54,-1,15,1239,-74,-24,23,-49,17,-25,-3,1.8543341,365.0,0.11500111,101261.0,0.0111380005,149.875,290.885,2.7639973,"{""type"":""Point"",""coordinates"":[112.53163998877736,30.69880159817659]}"
1_0000000000000000004e,46,204,200,42,37,36,63,68,58,35,0,1,28,29,1058,-110,-10,12,-24,39,-21,-2,-9,-152,36,-26,16,-30,-2,-17,0,15,205,-65,-24,10,-34,33,-24,0,3.515711,365.375,0.112501115,101469.0,0.010975,147.5,290.895,2.4079971,"{""type"":""Point"",""coordinates"":[113.27787055007151,30.649216394462275]}"
