system:index,B1,B2,B3,B4,B5,B6_VCID_1,B6_VCID_2,B7,B8,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000004,36,37,38,71,61,202,202,41,54,1,1327,20,575,-98,17,19,-19,-8,3,-1,-7,-11,69,-68,3,3,-28,-48,0,16,1011,-89,0,10,-25,-20,11,-3,1.4878707,305.41666,0.006667784,86700.0,0.0045016673,193.58333,287.05667,2.132664,"{""type"":""Point"",""coordinates"":[80.17584981644343,37.16262976233172]}"
1_00000000000000000037,28,26,28,50,55,188,188,41,39,1,3048,19,347,-153,34,23,-96,81,-13,0,-7,398,42,-51,34,58,-70,42,-1,17,-475,-145,36,18,-86,76,-15,2,18.679794,234.0,0.054167785,65762.664,0.0034773338,188.41667,270.31332,2.6619973,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_0000000000000000004a,39,37,40,51,56,200,200,46,46,1,1045,9,-220,-68,17,-7,-34,33,-10,1,0,-104,30,-53,-19,32,-20,1,0,8,116,-47,-4,7,-35,23,5,0,9.228245,292.0,0.07416778,89049.336,0.005592,175.0,282.31,1.846664,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000053,39,42,45,81,64,202,203,46,60,1,1407,17,415,-96,18,-3,-57,3,12,0,-8,-950,70,15,-17,-1,21,3,3,15,183,-83,21,0,-65,6,15,0,0.92740995,300.5,0.0075011174,86011.336,0.0046593337,200.08333,286.28,1.8359972,"{""type"":""Point"",""coordinates"":[78.57640148227976,37.44506030485488]}"
1_00000000000000000090,42,46,58,70,80,205,205,64,58,1,1368,8,-196,-27,20,5,-20,8,-19,1,0,-999,-20,11,-30,46,-67,-91,3,7,-425,-30,18,4,-23,5,-22,1,4.6273675,286.08334,0.021667784,85728.664,0.005051667,197.41667,282.66,2.736664,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
1_0000000000000000009e,46,41,43,59,83,202,202,73,49,1,688,12,67,-38,-13,-7,-24,26,-10,0,5,-672,19,-18,-6,-23,8,1,2,10,27,-21,-10,-13,-25,18,-3,0,12.098643,303.75,0.068334445,92670.0,0.005665334,172.16667,284.64667,1.8046639,"{""type"":""Point"",""coordinates"":[110.74031207718286,37.45557040603785]}"
1_000000000000000000e0,39,44,52,74,79,205,205,64,60,1,1787,13,210,-79,23,2,-37,14,16,0,-5,-1327,1,-39,41,25,8,-46,4,11,-31,-61,19,5,-22,5,6,0,2.5193825,279.75,0.03083445,81724.664,0.005341667,195.5,281.51666,4.435331,"{""type"":""Point"",""coordinates"":[102.79911238840425,37.69191613917364]}"
1_00000000000000000135,38,38,43,70,81,201,201,58,57,1,1184,16,-263,-109,1,7,-92,79,-3,1,-2,-2463,87,-66,-76,50,-52,19,9,14,55,-88,-21,13,-106,58,22,0,4.38231,286.25,0.05333445,87464.664,0.005384667,177.66667,281.47665,2.3653307,"{""type"":""Point"",""coordinates"":[109.06109042517305,37.83124521068961]}"
1_00000000000000000136,43,44,49,54,60,205,205,52,52,1,1108,5,118,-25,0,2,-13,16,-2,0,-4,-273,-19,-41,-8,-8,-37,26,0,4,40,-17,-6,3,-10,8,1,0,13.198785,288.25,0.051667783,88186.0,0.0054763337,178.08333,281.94333,2.5033307,"{""type"":""Point"",""coordinates"":[109.2761484098797,37.96734143394183]}"
1_00000000000000000182,43,43,49,54,58,204,204,50,49,1,1093,4,-107,-25,7,12,-8,10,-6,0,-2,-581,-43,-53,-63,1,-16,-14,2,4,-62,-24,1,8,-8,5,-3,0,3.6449373,286.91666,0.06250112,88678.0,0.0053563337,182.41667,282.31998,2.586664,"{""type"":""Point"",""coordinates"":[109.77579068291831,38.24949997130073]}"
