system:index,B1,B10,B11,B2,B3,B4,B5,B6,B7,B8,B9,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000002,54,207,204,53,54,61,73,83,77,60,1,1,1414,10,-3735,-48,13,-12,-35,26,17,13,-1,-248,-4,-11,-24,-16,-22,2,0,7,-1381,-15,0,-5,-14,0,10,5,1.4883257,308.66666,0.0050011175,86624.664,0.0046943338,191.75,287.66666,2.0353305,"{""type"":""Point"",""coordinates"":[79.3018793872712,37.200358216344924]}"
1_00000000000000000004,39,205,202,36,37,39,82,62,46,33,0,1,1327,24,620,-117,12,10,-32,-6,-5,-1,-12,-452,78,-4,-30,8,-3,-16,1,16,391,-91,-1,-2,-48,-1,7,0,1.4878707,308.75,0.0050011175,86711.336,0.0045290003,190.25,287.74664,2.0013306,"{""type"":""Point"",""coordinates"":[80.17584981644343,37.16262976233172]}"
1_00000000000000000037,30,194,192,28,27,31,56,59,46,28,1,1,3048,24,-207,-161,55,-10,-90,77,-10,1,-15,-1152,86,-51,24,37,-50,46,3,18,-258,-137,28,10,-91,81,-15,1,18.679794,233.33333,0.06750111,65866.0,0.0036033338,195.66667,270.93,2.9119973,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_00000000000000000038,33,197,195,30,30,39,62,67,56,36,1,1,2759,14,281,-60,21,-5,-35,36,-2,0,-5,1085,22,-14,39,-13,-27,-29,-3,13,772,-52,10,11,-49,40,-10,-2,8.328759,241.25,0.06666778,68066.664,0.0039233337,195.0,272.72998,2.8699973,"{""type"":""Point"",""coordinates"":[102.10112484140731,37.231081422603175]}"
1_0000000000000000004a,42,203,200,40,40,44,60,60,55,41,0,1,1045,11,227,-54,-3,8,-37,7,7,0,-11,-444,47,-52,-29,22,-41,8,1,7,426,-32,-14,2,-28,0,11,-1,9.228245,292.58334,0.057501115,88750.664,0.0053900005,177.25,282.74,2.2853305,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000053,43,205,202,42,44,49,76,68,55,43,0,1,1407,17,1718,-60,4,11,-33,-1,-2,-5,-11,-284,36,-1,-15,53,-14,-9,0,12,1704,-48,5,6,-13,-17,4,-5,0.92740995,305.5,0.0050011175,86052.664,0.0044093337,187.5,286.69,1.9473306,"{""type"":""Point"",""coordinates"":[78.57640148227976,37.44506030485488]}"
1_00000000000000000080,40,192,191,37,33,34,34,33,32,34,1,1,2991,6,805,-38,1,6,-15,14,0,-2,-11,1546,64,39,-38,-81,58,20,-5,4,952,-15,0,2,-16,14,-2,-3,2.5100226,245.58333,0.027501117,67633.336,0.0029720005,209.66667,276.04333,1.7786639,"{""type"":""Point"",""coordinates"":[97.36906883517686,37.37013848895488]}"
1_0000000000000000008a,39,201,200,38,38,40,45,47,44,48,0,1,2866,6,-598,-46,18,-13,-10,2,11,2,-7,557,-12,-27,16,3,2,-6,-2,5,-475,-37,16,-3,-2,12,-3,1,1.8543341,240.08333,0.07500111,67980.0,0.0038473338,195.75,272.53998,2.2079973,"{""type"":""Point"",""coordinates"":[101.61845836607918,37.37580154729276]}"
1_0000000000000000008d,41,203,202,40,44,53,73,76,68,46,0,1,2074,12,-81,-50,10,-2,-5,6,17,0,-9,1616,-30,-58,10,-49,-14,-44,-5,10,294,-41,0,0,-26,7,1,0,1.4916565,278.25,0.035001118,80674.664,0.0055270004,196.08333,281.33667,4.9619975,"{""type"":""Point"",""coordinates"":[102.91230220954493,37.47443686259498]}"
1_00000000000000000090,41,209,206,39,44,50,78,74,64,35,0,1,1368,16,-660,-31,-8,23,-63,17,17,2,-13,-2239,8,-8,45,69,-3,31,7,11,-1022,-24,-16,36,-55,26,24,4,4.6273675,291.58334,0.02833445,85816.0,0.0053853337,193.08333,283.55,2.9033306,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
