system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000004,29,28,26,70,44,199,28,1,1358,17,-156,-98,50,-24,-36,-15,-9,1,-10,-597,131,-29,22,39,-37,-13,3,14,-469,-90,46,-24,-40,-10,-14,3,3.0131345,303.58334,0.0050011175,86568.0,0.0053510005,199.08333,286.39334,1.7379973,"{""type"":""Point"",""coordinates"":[79.89908233225815,37.13675805801963]}"
1_00000000000000000037,27,27,29,46,58,189,47,1,3048,12,2,-84,25,3,-57,60,-23,0,-5,-82,4,-86,-63,-2,-51,2,0,11,336,-111,28,-12,-77,59,-31,0,18.679794,230.58333,0.052501116,65680.0,0.0035616672,190.08333,269.37665,2.0213306,"{""type"":""Point"",""coordinates"":[101.96960811493699,37.31758798304002]}"
1_0000000000000000004a,32,30,31,46,42,199,35,1,1045,6,275,-65,10,-3,-37,21,-14,-1,-4,148,0,-22,-15,32,-46,-32,0,6,219,-82,0,0,-47,25,-9,0,9.228245,295.41666,0.050001115,89062.0,0.0060663335,176.83333,282.84998,2.1093307,"{""type"":""Point"",""coordinates"":[109.69197741951774,37.147807710430065]}"
1_00000000000000000053,41,45,45,87,65,202,49,1,1407,20,-109,-102,16,-16,-63,-3,29,1,-6,-99,92,6,-11,40,21,-16,0,18,-236,-89,18,-27,-58,1,26,2,0.92740995,302.5,0.00833445,85984.0,0.0053220005,196.75,285.94333,1.2133305,"{""type"":""Point"",""coordinates"":[78.57640148227976,37.44506030485488]}"
1_00000000000000000090,45,53,65,74,92,204,83,1,1368,6,-5,-1,1,3,-4,8,5,0,1,2,4,-31,-50,39,-3,-17,0,5,-37,-4,1,0,-3,8,3,0,4.6273675,289.33334,0.02583445,85740.0,0.005496334,197.25,283.28333,2.600664,"{""type"":""Point"",""coordinates"":[104.92919820702903,37.43994125684553]}"
1_0000000000000000009e,41,43,47,55,61,202,57,1,688,4,57,-17,-4,10,-14,4,4,0,-4,-575,-16,-1,-8,-9,17,9,3,3,120,-24,-5,8,-17,5,2,0,12.098643,306.5,0.04583445,92665.336,0.0067286673,172.41667,284.51334,2.3753304,"{""type"":""Point"",""coordinates"":[110.74031207718286,37.45557040603785]}"
1_000000000000000000e0,42,49,56,75,80,201,68,1,1787,11,178,-54,25,-8,-26,-6,17,0,-6,-429,-10,-62,-28,7,14,-6,2,9,170,-56,15,-12,-28,-5,11,0,2.5193825,276.58334,0.029167783,81673.336,0.0054426673,196.66667,280.58667,3.0799973,"{""type"":""Point"",""coordinates"":[102.79911238840425,37.69191613917364]}"
1_00000000000000000135,40,46,53,77,85,202,72,1,1184,12,386,-46,-7,20,-59,36,-5,-1,-2,-157,44,-63,-33,46,-10,-3,0,11,373,-54,-19,18,-65,40,-1,-1,4.38231,287.58334,0.036667783,87476.0,0.0053523337,178.83333,281.97333,2.396664,"{""type"":""Point"",""coordinates"":[109.06109042517305,37.83124521068961]}"
1_00000000000000000136,42,51,61,76,94,205,87,1,1108,7,457,-10,-2,11,-24,20,-6,-2,0,139,36,-89,-22,1,22,-15,0,7,486,-15,-11,9,-28,22,-5,-2,13.198785,289.5,0.03333445,88195.336,0.0054426673,179.0,282.38666,2.3653307,"{""type"":""Point"",""coordinates"":[109.2761484098797,37.96734143394183]}"
1_00000000000000000182,38,42,48,62,69,202,63,1,1093,8,334,-27,4,3,-21,19,-3,-1,-3,-203,-8,-37,-18,60,-43,-34,1,7,280,-35,0,4,-19,18,-4,-1,3.6449373,293.33334,0.037501115,88684.0,0.005924334,175.0,282.31332,1.8073306,"{""type"":""Point"",""coordinates"":[109.77579068291831,38.24949997130073]}"
1_00000000000000000189,43,47,52,65,67,206,58,1,1228,9,142,-40,0,17,-14,6,13,0,-2,142,20,35,-29,-26,-2,2,0,8,76,-46,3,11,-13,-1,9,0,3.6656797,307.75,0.010001117,87938.664,0.0066160006,184.25,285.08,1.0366639,"{""type"":""Point"",""coordinates"":[77.26611693322997,38.42278509733869]}"
1_000000000000000001c0,34,37,40,67,67,200,54,1,2425,12,-20,-57,16,-7,-50,22,8,0,-7,-1036,-27,-27,-9,33,-11,38,5,11,-192,-61,4,0,-51,28,18,1,3.0063624,253.75,0.036667783,75032.664,0.0043023336,198.58333,276.14334,1.6939973,"{""type"":""Point"",""coordinates"":[100.57093080570473,38.47264230621727]}"
1_000000000000000001c4,43,51,59,71,80,202,70,1,1730,8,22,-27,18,-1,-7,-8,16,0,0,157,-24,-35,-20,-49,-20,-6,0,7,80,-35,13,-6,-15,-11,11,0,0.92740995,267.91666,0.022501117,81152.664,0.004675334,200.0,279.5533,2.5333307,"{""type"":""Point"",""coordinates"":[102.13022939398316,38.33250613741062]}"
1_000000000000000001ca,39,46,54,72,83,202,71,1,1158,9,205,-14,11,8,-15,16,-2,0,-2,-353,-8,26,-21,77,-37,-64,1,8,143,-21,9,6,-12,13,-4,0,2.1985614,291.58334,0.03833445,88106.0,0.0058153337,175.16667,282.02332,1.8039973,"{""type"":""Point"",""coordinates"":[109.78602877893702,38.31768408550897]}"
1_0000000000000000020d,39,40,44,47,47,204,45,1,1541,2,156,-3,-1,1,-8,-5,6,0,-4,-75,-49,-18,-2,-44,-43,-7,0,2,186,-12,-9,-3,-14,-9,3,0,2.2002087,272.5,0.021667784,82767.336,0.0047343336,200.91667,280.74332,2.5779972,"{""type"":""Point"",""coordinates"":[102.1868243045535,38.50498416615791]}"
1_0000000000000000020f,42,47,54,74,78,201,64,1,1372,11,59,-50,11,2,-22,0,14,0,0,162,33,-27,-8,17,-11,-13,0,10,112,-51,6,0,-30,1,13,0,2.2013683,279.66666,0.014167784,86150.664,0.004717667,200.58333,282.34332,2.806664,"{""type"":""Point"",""coordinates"":[103.03788387251313,38.63568487713546]}"
1_00000000000000000212,40,44,52,66,76,202,66,1,1111,9,-21,-28,11,12,-22,19,-3,0,0,-61,12,-5,5,26,8,11,0,8,43,-26,8,12,-21,21,0,0,0.92740995,292.83334,0.020001117,88818.664,0.0061193337,185.41667,282.67667,2.5413306,"{""type"":""Point"",""coordinates"":[106.27613210763711,38.5111823166222]}"
1_00000000000000000261,41,44,48,54,58,202,55,1,943,4,225,-21,0,0,-15,5,-1,-1,-5,647,-28,0,-21,9,-27,-41,-3,3,227,-23,0,0,-14,4,-1,-1,1.1907749,294.0,0.050001115,89220.664,0.006182667,173.75,282.3633,2.1619973,"{""type"":""Point"",""coordinates"":[110.49021893549929,38.850475315778894]}"
1_000000000000000002b1,27,23,23,55,28,192,14,1,1305,17,145,-152,26,73,-138,36,-3,0,-21,291,50,-56,-65,-14,-86,-41,-2,15,399,-179,35,98,-169,22,-17,-1,0.92740995,307.83334,0.011667784,86802.664,0.006338667,186.41667,285.57333,1.5626639,"{""type"":""Point"",""coordinates"":[75.93724239188835,39.16039175719549]}"
1_000000000000000002ef,30,32,36,63,62,203,50,1,1233,13,-45,-61,18,5,-41,18,-3,1,-5,-249,-20,-5,0,17,-116,-89,1,12,-108,-83,19,10,-54,13,-16,1,5.1227574,286.16666,0.049167782,88090.664,0.005591667,181.25,281.95667,2.3933306,"{""type"":""Point"",""coordinates"":[110.18542154209206,39.23531357309549]}"
1_000000000000000002f1,39,43,49,65,70,203,59,1,1023,10,154,-39,4,2,-41,18,0,0,0,-222,25,-8,-16,34,-35,-16,1,10,227,-43,2,-2,-48,16,-1,0,8.125839,292.58334,0.044167783,90944.0,0.0060020005,169.58333,281.66,1.2866639,"{""type"":""Point"",""coordinates"":[111.1027790245143,39.34176123344335]}"
1_0000000000000000033c,47,50,52,64,58,206,47,1,1118,5,-169,-5,7,-5,-12,3,5,1,-10,-832,54,26,14,4,29,23,4,4,-294,-10,9,-3,-7,4,6,2,2.2118802,305.41666,0.00833445,88816.664,0.0058400007,181.58333,285.43,0.88733053,"{""type"":""Point"",""coordinates"":[78.53274242386547,39.77484250505717]}"
