system:index,B1,B2,B3,B4,B5,B6,B7,Built,DEM,EVI,EVI_constant,EVI_cos_1,EVI_cos_2,EVI_cos_3,EVI_sin_1,EVI_sin_2,EVI_sin_3,EVI_t,NDBI,NDBI_constant,NDBI_cos_1,NDBI_cos_2,NDBI_cos_3,NDBI_sin_1,NDBI_sin_2,NDBI_sin_3,NDBI_t,NDVI,NDVI_constant,NDVI_cos_1,NDVI_cos_2,NDVI_cos_3,NDVI_sin_1,NDVI_sin_2,NDVI_sin_3,NDVI_t,SLOPE,lrad,prec,pres,shum,srad,temp,wind,.geo
1_00000000000000000000,47,47,51,57,67,200,63,1,39,2,270,-14,6,-3,-4,8,6,-1,9,-1218,64,-20,-8,40,-2,6,9,1,259,-13,3,-2,-4,5,5,-1,2.2035892,312.08334,0.07000112,101434.0,0.0071783336,171.58333,285.21,4.862664,"{""type"":""Point"",""coordinates"":[121.54677403436891,38.88281271661849]}"
1_00000000000000000001,37,30,27,27,20,181,17,1,5,0,-115,-51,-7,-4,-8,4,6,0,-13,164,-44,-49,-19,19,-19,0,-2,0,-131,-54,-4,1,-8,1,7,0,2.5557842,312.08334,0.07000112,101434.0,0.0071783336,171.58333,285.21,4.862664,"{""type"":""Point"",""coordinates"":[121.58504203960962,38.89466946631959]}"
1_00000000000000000002,40,38,41,48,49,199,45,1,25,3,114,-25,4,-2,-12,17,-1,0,-3,167,16,-40,-30,22,-4,9,-1,3,125,-23,0,-3,-9,13,2,0,3.8914487,309.41666,0.07083445,101130.0,0.007076667,169.25,284.63333,4.3486643,"{""type"":""Point"",""coordinates"":[121.76479732127609,39.046934389991605]}"
1_00000000000000000004,30,30,30,54,55,199,43,1,8,11,-218,-67,8,10,-48,47,10,2,1,-244,40,-77,-68,60,-62,24,1,10,-230,-69,-6,5,-49,41,18,2,2.2068977,308.83334,0.06750111,101278.0,0.006989334,167.33333,284.45667,4.104664,"{""type"":""Point"",""coordinates"":[121.76209956513875,39.244477025760325]}"
1_00000000000000000005,31,31,31,60,53,199,35,1,6,11,901,-111,33,-13,-85,45,-2,-5,0,-913,95,-61,-35,95,-55,39,6,10,967,-96,16,-5,-72,28,18,-6,1.8543341,303.91666,0.07166778,99700.664,0.0068790005,164.66667,283.31332,3.8193307,"{""type"":""Point"",""coordinates"":[122.04506965888936,39.08008334722293]}"
1_00000000000000000006,36,37,39,57,68,201,54,1,85,11,149,-81,22,4,-55,53,-10,0,0,-481,22,-69,-53,47,-36,14,3,10,171,-73,4,0,-49,38,6,0,3.0270395,307.83334,0.06750111,101198.0,0.0069420002,165.5,284.18332,3.904664,"{""type"":""Point"",""coordinates"":[121.82893703082887,39.256873326688904]}"
1_00000000000000000007,32,31,32,47,49,193,37,1,19,10,-140,-67,1,-1,-51,34,7,1,-6,156,31,-73,-51,25,-24,9,-1,8,-33,-62,-14,-8,-48,20,25,1,1.2003169,306.75,0.07000112,101100.0,0.007002,160.33333,283.56,3.484664,"{""type"":""Point"",""coordinates"":[122.08118391832126,39.412638644687874]}"
1_00000000000000000009,30,30,36,59,56,196,38,1,17,11,379,-88,0,-10,-70,33,26,-1,-3,-365,43,-96,-32,42,-49,17,2,10,305,-91,-10,-5,-68,19,51,-1,5.6745224,309.0,0.06583445,101438.0,0.006829334,166.58333,284.55667,4.108664,"{""type"":""Point"",""coordinates"":[121.33818620529085,39.46438205331206]}"
1_0000000000000000000b,33,32,35,55,56,200,42,1,13,10,128,-67,15,-10,-54,32,9,0,-5,32,38,-83,-41,39,-46,11,0,9,258,-72,4,-12,-59,27,16,-1,3.8935008,306.25,0.06666778,100774.0,0.0067660003,165.66667,283.96335,3.938664,"{""type"":""Point"",""coordinates"":[121.73838606573656,39.44012900268236]}"
1_0000000000000000000d,37,38,40,55,59,200,49,1,28,8,-93,-49,7,-5,-31,31,4,1,-5,121,1,-75,-33,31,-15,15,-1,7,-52,-43,-5,-8,-29,23,12,1,0.92740995,307.33334,0.06750111,101254.0,0.0069010006,163.33333,283.95334,3.7453306,"{""type"":""Point"",""coordinates"":[121.96448924375255,39.468694004030745]}"
1_0000000000000000000e,30,31,34,61,66,199,48,1,70,14,17,-98,36,-15,-69,63,-20,1,-1,-111,71,-96,-68,40,-78,42,0,12,93,-83,9,-19,-65,45,2,0,4.8868065,302.5,0.068334445,99970.0,0.006684667,159.41667,282.75333,3.464664,"{""type"":""Point"",""coordinates"":[122.11971946962512,39.530140416547226]}"
1_0000000000000000000f,27,20,15,19,9,195,7,1,12,10,397,-71,1,-3,-62,38,15,-2,-1,-299,63,-26,-20,83,-25,15,2,9,451,-65,-7,-5,-58,29,27,-2,0.0,307.75,0.07416778,101974.0,0.007032334,152.83333,283.25998,3.1966639,"{""type"":""Point"",""coordinates"":[122.4635964246648,39.447406255601585]}"
1_00000000000000000010,34,35,38,60,66,199,51,1,14,9,412,-67,7,5,-51,39,0,-2,0,-16,74,-12,-52,61,-9,20,0,8,457,-61,3,-5,-38,26,10,-2,3.0350223,305.33334,0.075834446,101222.0,0.0068626674,151.83333,282.73334,3.1799972,"{""type"":""Point"",""coordinates"":[122.58945009279724,39.55088861374891]}"
1_00000000000000000011,34,34,37,63,65,199,51,1,38,13,300,-90,15,-13,-68,35,8,-1,-1,56,44,-51,-38,49,-9,0,0,12,517,-82,-2,-16,-66,24,20,-2,2.7802885,306.33334,0.065001115,101050.0,0.0066673337,165.58333,284.04666,3.8299973,"{""type"":""Point"",""coordinates"":[121.60282939371179,39.70261398619345]}"
1_00000000000000000013,29,27,27,61,49,197,39,1,72,15,577,-149,62,-12,-82,89,-30,-2,-4,28,95,-114,-57,51,-71,41,0,12,627,-126,34,-9,-72,67,-4,-3,2.2110603,301.91666,0.06583445,99884.664,0.0066296672,160.0,282.68332,3.464664,"{""type"":""Point"",""coordinates"":[122.08764961484876,39.688603490683526]}"
1_00000000000000000017,31,30,28,54,54,191,35,1,37,12,644,-75,3,-21,-56,16,42,-3,-5,375,77,-17,-60,47,0,13,-2,10,751,-76,1,-32,-47,10,49,-4,0.0,304.0,0.08166778,100760.664,0.006766667,152.5,282.51334,3.0359974,"{""type"":""Point"",""coordinates"":[122.75761171172478,39.73387674367917]}"
